	NKX2-1	JAK2	SRC	GAB2	PTPN11	ESR1	CCND1	VAV1	RPTOR	EIF4E	ABL1	AURKA	PDCD1	STAT5A	NRAS	RHEB	ERBB3	PAX8	LCK	MAP2K1	STAT3	SQSTM1	MET	EGFR	RAF1	SOX2	PIK3CB	ETS1	CTLA4	CD276	TP63	FRS2	XIAP	NOTCH1	ARAF	WWTR1	YAP1	PAK1	GSK3B	BRD4	CCND3	MDM2	PLCG2	MYC	EZH2	MAP2K2	AKT2	SYK	RICTOR	GLI1	DNMT1	PIK3CA	XBP1	TRIP13	JUN	PDGFRB	KIT	BCL2	INSR	IGF1R	BRAF	AURKB	LRP6	PGR	NFE2L2	LYN	KDR	RET	GATA3	AR	CDH2	MECOM	SGK1	IRS2	AXL	MAPK1	CREB1	IRS1	NRG1	CCNE1	ERBB2	MITF	PLCG1	CTNNB1	CD274	MTOR
TCGA-05-4244-01A	5.9228	-0.038181	1.92028	-0.045192	0.096924540875564	1.56676	-0.12241	1.01660725481908	0.33856	0.0154340765911288	-0.164316239377939	-0.427740412276057	-0.69129	0.28744	-0.17896	-0.267110841659714	0.109995	-0.0828865091679433	0.46259	1.3157	-0.183781502380129	0.71473	0.0832	4.57033	0.29295	-0.0198388815904927	0.0261370170236857	-0.92362	-1.0213	-0.262087801197236	0.34998	-0.0985852025184876	0.896484420857345	-0.384247761010098	0.331546	-0.1098	0.36538	0.362371050845107	-0.0908506996211599	-0.12605	0.467121071896986	0.546672828060923	0.220168160105566	-0.19761	-0.056563	0.100688089893327	-0.2743723890327074	0.1118	1.25365	0.0750079827659379	0.355092919755858	-0.41679	-0.3589	-0.20666916862459	0.25525	-0.304899546830517	0.58832	-0.56936	0.536925480922013	-0.924865525687774	0.42774	-0.392112779055207	0.220599269549942	-0.39492	-0.32488	1.25715690227028	0.047438	0.11143	-0.52605	-0.73735	-0.46281	0.651862110698754	0.192158237030567	0.0129576541631265	-0.14533	0.18956	0.166604578978653	0.54169	-0.32129	-0.42853	3.1736	-0.0163454780373683	-0.435946814738524	0.225878150499898	0.18799	0.96994
TCGA-05-4249-01A	5.6905	-0.30863	3.3043199999999997	-0.34825	0.123346697568775	-1.38371	-0.13113	0.688873769099984	-0.11797	0.125182480404235	0.115684646887773	-1.04069652794247	-0.66168	-0.38441	-0.15646	-0.673137235694546	0.738137	0.752696464095653	0.37261	0.87522	0.829391189430524	-0.32778	-0.275989	2.36394	0.72769	0.0830137060540394	-0.109737433512891	-0.92341	-1.6596	0.0563713186974844	2.3868	-0.0532848689936372	0.226469164632377	0.181242184219442	0.247131	0.45333	0.95686	-0.520717385008976	0.2303598913049319	-0.40166	-0.0664992534762275	0.171665621077917	0.424310329073838	-0.40299	-0.14845	0.187502115438861	0.94591820233089	0.24334	0.339787	0.0060546726624279	0.324802310761076	-0.66625	-0.49997	-0.77220322696461	0.36721	-0.103471851120116	0.90632	-0.081564	0.721273463175596	-0.0984219220187596	0.0094319999999999	-0.606534831523099	0.390129775915939	-0.40709	-0.22505	0.313711310851313	0.14427	0.11908	-0.55052	-0.40538	0.24365	0.151989563075825	0.644412113954459	-0.359369349624749	0.30297	-0.1198	0.859555290611302	0.11125	-0.29017	-0.73447	2.7155	0.0845752273311993	-0.131785591406357	0.7423714001173889	-0.34057	0.462592
TCGA-05-4250-01A	4.1733	-0.075247	2.66191	0.28621	0.5815368377600415	-2.17545	-0.3116	0.708417549455183	-0.15151	0.4177558824346554	-0.437549756235181	0.273850078069019	-1.1243	0.43342	-0.31447	-0.437358954117986	0.12055	0.230303270824084	0.73978	1.1461	0.001019591213936	-0.60318	-0.271531	2.0654102	0.32991	-0.0105137704012739	0.0322066001604511	-0.1382	-5.1763	-0.309874298479344	-0.53248	0.0175773022406663	-0.170093186765853	-0.272740830046952	-0.04313	0.065977	1.72768	0.353473735734282	0.344814634767272	-0.14748	0.168730245665436	0.0239998579959176	-0.170350401794872	-0.29696	-0.51432	-0.121237788911032	-0.412397697488519	0.42985	0.59202	-0.136938494285735	-0.3655557515467	-0.52418	-0.44356	-0.498244808583061	0.8169	0.0583163905289353	0.50044	0.29862	0.0053411483363899	-0.881234167360345	-0.26636	-0.512642884341479	-0.0891484321460811	-0.40211	-0.32127	1.04049907767543	1.0308	-0.28711	-0.46748	-0.7647	-0.63319	0.431658430565198	0.110517626361245	0.0718861842580294	0.34571	0.10313	0.337826143820649	0.54351	0.026486	0.31103	2.04278	0.0079712705106515	-0.245871949108625	-0.235001504394815	0.59895	-0.1166599999999999
TCGA-05-4384-01A	5.9145	-0.24815	1.62546	0.085383	0.465037485276545	-2.0303	-0.25218	0.153509326719785	-0.15497	0.5199026810799833	-0.101935446529453	-0.745374839366101	-0.41026	-0.46203	0.017049	-0.0976124232061889	1.05919	0.185013386173889	0.24462	0.58452	1.280097518364861	-0.33321	-0.244765	2.5416589	0.166984	-0.24512496298458	0.0316335687983337	-0.77825	-1.3295	-0.768522174854025	0.94524	0.139929841552672	0.218198670652656	-0.222929541967458	-0.193874	-0.022186	1.13757	0.0997653217102705	0.5643914314868322	-0.6025	0.53375858310864	0.470376954443664	0.535647648670425	-0.24747	-0.10244	-0.0109042391138639	-0.2689336486732948	0.38475	1.04447	0.23304947950756	-0.376973822988152	-0.21625	-0.42424	-0.918284663107146	0.37478	0.418648655690868	2.685	-0.2709	0.120965434827002	-0.364789452144856	0.2235789999999999	-0.506694010647582	0.448032133344512	-0.40699	-0.10063	0.418472543666111	0.77079	0.2727	-0.046793	-0.31992	-0.49797	0.880399691346679	0.384053823332764	0.856076316352209	-0.075931	0.094579	0.088227478084838	-0.26195	-0.15263	-0.84386	2.45158	-0.11746827524825	-0.279360213770153	1.0546852027362288	-0.48901	0.581
TCGA-05-4396-01A	5.4548	0.079414	1.57871	0.19354	-0.1493667625485639	-2.15853	0.2475	-0.305410343830539	-0.57462	0.95404364666533	0.0995786067603825	-0.825593023327357	-0.4108	-0.22688	-0.14689	-0.351143264989389	1.51922	0.36120095905805	0.19068	0.89682	1.302156407455701	0.26989	0.19548	1.88007	0.105784	0.928621265589733	0.0797428517256611	-0.57345	-0.16943	-0.980968026546927	1.7669	-0.0198943039450423	0.283751303215433	-0.364280208648658	-0.42225	-0.12543	1.6161	0.933408568240657	0.2405062789358391	-0.064322	0.136579176879347	0.454066553742681	0.774002492719704	-0.32617	-0.35648	-0.0852113397164781	-0.7136650242927989	0.2903	1.09523	0.200648490826677	-0.639045032882242	-0.28311	-0.40056	-0.722691195072541	-0.070421	-0.323423427567534	2.2502	-0.70292	0.361864736295786	0.113442678590806	0.71812	-0.626203455071016	0.365800206438834	-0.43824	-0.10694	1.86070208514819	1.7238	-0.099365	-0.34354	-0.1943	-0.55365	2.63435027890436	0.672154842563437	3.4806631843018	-0.26138	-0.064842	-0.697912353717988	0.074821	-0.021788	-0.77981	2.1868	0.0444473122090833	-0.313392203746147	1.1367807408476511	-0.15393	0.58489
TCGA-05-4397-01A	3.9375	0.059016	1.57168	0.044477	0.125035893786492	-2.2548399999999997	0.096514	0.887759755171535	-0.36893	-0.51940536289392	0.981089057514527	1.31034879944835	-0.38125	0.15618	-0.44332	-1.00816879416184	0.0871893	0.230338914157575	0.60931	0.68263	1.430179271103953	0.89848	0.28476	0.75161	0.289453	3.09745393452275	0.215396269205248	-1.3176	-0.32999	0.0102742514543024	0.60206	0.148533563031474	0.525197421005944	-0.2485282222240367	0.02426	0.022804	0.86219	1.0620780962584	1.530053456051632	0.23136	-0.0654427065849525	0.358676339457663	0.56391896772453	-0.4319	-0.05607	0.0343207784594554	0.8278373299851041	0.12385	-0.3433699999999999	-0.0280624134997286	1.36209358440897	0.035376	-0.81137	0.268638564003094	-0.15849	-0.613576169719057	-0.45601	-0.24645	0.463359240555497	-0.961332914943534	0.38167	0.084202497253218	0.326950979632571	-0.44063	-0.14532	2.4604771928516	0.47644	-0.12987	-0.58504	-0.68317	0.050915	1.34201336184041	0.207429078752688	0.578853340060733	-0.46907	0.31518	0.088735201486584	-0.20424	-0.41303	0.298	1.356249	-0.0518515943607977	0.632619216541239	0.188489882548805	0.024944	-0.099688
TCGA-05-4398-01A	5.3216	0.058079	2.78469	0.30827	-0.02792267621023	-1.34628	0.052579	0.918845438625306	-0.080724	-0.420441971133476	0.0081973841720799	-0.484234862419185	0.033227	0.37839	-0.30887	-0.771612883450136	0.262069	0.775257797803073	0.59547	0.66221	0.6440774217075672	0.31383	0.54809	3.83999	0.384497	-0.1834028567524	-0.197566903119274	-0.46389	-0.70137	-0.0376583957370868	-1.0069	-0.0065541797139365	0.0169256531664505	0.0626749141469797	0.01838	0.091191	0.58518	0.249882973896225	-0.461518246430034	-0.26919	0.212282250986315	0.206326995274565	0.254710931573518	-0.13611	-0.20061	0.0013227107495447	0.2839700163702789	0.4876	1.04502	-0.0750086291919333	0.371181883951122	-0.48498	-0.14247	-0.0368849358684557	0.54186	-0.0316761533910809	0.77021	-0.36388	-0.12381852609133	-0.856228318401024	0.68353	-0.369508103474588	0.204006317501577	-0.4407	-0.20269	1.55790823696748	0.61728	-0.10435	-0.29123	-0.65352	0.002184	0.0981552060669461	0.218214743977956	0.589340885917539	-0.11437	0.15871	0.4075139007902651	0.19655	-0.33572	-0.11532	2.0207699999999997	-0.194988971313635	-0.0954583372838	0.2303377280592909	0.59221	0.246974
TCGA-05-4402-01A	4.8329	-0.11708	2.26451	-0.091558	0.977623020702836	-2.0461	-0.060884	0.964211055503156	-0.42742	0.3848045424804738	-0.293715702991628	-0.709227577787615	-0.089084	-0.19066	-0.10311	0.176564350689723	0.178607	-0.0728543108025481	0.13904	0.61129	1.3033970428781911	0.25493	-0.205852	10.483059999999998	0.27283	0.908476539078636	0.109834880305403	-1.1406	-0.7744	0.204760728203902	0.75484	0.453960849627352	0.110181837969684	-0.2025647037587003	0.28883	-0.025699	1.32836	0.613271108577091	0.4012880041618653	-0.41495	0.539634470078782	-0.0651502269729022	0.486527935221132	-0.3764	0.052179	0.0070607489154267	0.5037235496267691	0.17416	0.30487	0.113216637287389	-0.235595379966738	-0.32051	-0.49368	-0.253141580639723	0.22079	-0.227073056079193	0.14229	-0.14672	0.117401128576533	-0.765205487288548	0.235933	-0.444172232184862	0.119007431699836	-0.41039	-0.22053	0.249141169567976	0.44519	1.1926	-0.38772	-0.24262	-0.010863	0.76002431689637	0.252216309961763	-0.439484331052263	0.22175	0.14884	0.247212316784697	0.099405	-0.27344	-0.75637	3.79619	-0.0668020787086372	-0.152625191480188	0.142152960912302	-0.20854	0.13695
TCGA-05-4405-01A	5.9501	-0.039795	1.94443	0.20436	0.2288352093981139	-2.23246	-0.058565	1.11550632537548	-0.1098	0.0674216640130239	0.0805073970611698	-0.954800565785307	-0.75761	-0.11105	-0.36046	-0.447353177872399	0.50584	0.0259849377698243	0.26193	0.57688	0.8116350463568657	0.24856	3.08892	3.14428	0.29861	0.147562088398988	-0.103302973211932	-1.2217	-1.0348	0.0367977501187824	1.1196	0.120587656977453	0.588892174913807	-0.0021251722211603	0.011698	-0.028109	1.50744	0.228749382804674	0.177257529091587	-0.14198	0.90330943715588	0.331899993748147	0.487108599528968	-0.46513	-0.3166	0.162456212894701	0.1355896164395789	0.88684	0.6214	0.259341540002976	0.228059069480679	-0.46318	-0.61187	-0.521461541576564	0.43691	0.449000956830083	0.22298	-0.013292	-0.0420490522306193	-0.546651323925454	0.225567	-0.514698074845314	0.2177277922324	-0.43641	-0.1887	1.07435987969873	0.89567	0.036639	-0.50599	-0.61677	-0.33339	0.380500322591724	0.138346388956475	0.0219376882169082	0.53185	0.19649	0.2932785886025569	0.17681	-0.43394	-0.50262	1.95244	0.102269685893435	-0.470248929130998	0.113870583673472	-0.20706	0.3716959999999999
TCGA-05-4410-01A	5.2915	0.21938	2.0323599	0.49541	0.233723645842676	-1.71622	0.044444	1.18749620234981	-0.20577	-0.108082032625684	0.089836505244818	-0.711862941380963	-0.32968	0.57056	-0.15731	-0.461106510951024	0.71549	0.223679574786488	0.52968	0.43081	0.848612064737347	-0.056228	0.182781	6.68337	0.46439	0.202711560784794	-0.0567817336263254	-0.76926	-0.44248	-0.775131774140088	1.0906	0.243026820901854	0.0695349682696253	0.313073894936708	-0.0261479999999999	-0.1037	0.65934	0.447585935649109	-0.255379090907871	-0.363	-0.0468950860214025	0.230974871998814	0.492233971131968	-0.079553	-0.059062	0.104979684219311	1.310944343388837	0.52002	0.6377900000000001	0.10545110767768	-0.0849467287708355	-0.43319	-0.072817	-0.344290301266852	0.094226	-0.728808880605302	0.92627	0.031681	-0.551573163828569	-0.619042231983689	0.35732	-0.362079608944899	0.472556859251174	-0.40138	-0.18178	0.698660622439159	0.18692	0.5091	-0.38338	-0.49257	0.37934	1.05561407822705	0.339902530664916	-0.177499558750997	0.17517	0.12819	0.8215605474997281	0.11466	-0.31924	-0.74401	3.9774	-0.0356675508926622	0.320637105592709	0.393752556952797	0.12398	0.40934
